,1,2,3,4,5,6,7,8,9,10
mnist_cntr_m,0.715,0.804,0.826,0.853,0.87,0.878,0.885,0.891,0.902,0.904
mnist_cntr_s,0.017,0.022,0.018,0.016,0.015,0.013,0.009,0.01,0.011,0.008
mnist_ind_m,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715
mnist_ind_s,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
mnist_dc_mlp_m,0.732,0.8,0.822,0.837,0.846,0.857,0.861,0.866,0.872,0.875
mnist_dc_mlp_s,0.014,0.015,0.014,0.014,0.011,0.008,0.009,0.01,0.007,0.008
mnist_dc_svm_m,0.399,0.596,0.69,0.743,0.764,0.784,0.796,0.804,0.811,0.816
mnist_dc_svm_s,0.064,0.043,0.038,0.018,0.018,0.014,0.012,0.011,0.01,0.012
mnist_dc_knn_m,0.574,0.677,0.721,0.741,0.766,0.781,0.796,0.805,0.807,0.814
mnist_dc_knn_s,0.035,0.022,0.017,0.013,0.021,0.016,0.008,0.01,0.008,0.01
mnist_dc_time_m,1.93,2.001,2.262,2.968,3.146,3.038,3.514,3.678,3.56,4.437
mnist_dc_time_s,0.56,0.689,0.662,1.057,0.657,0.769,1.191,1.16,0.967,1.105
mnist_fed_m,0.643,0.71,0.779,0.812,0.843,0.857,0.861,0.877,0.873,0.888
mnist_fed_s,0.051,0.019,0.028,0.03,0.019,0.012,0.014,0.014,0.015,0.012
mnist_fed_time_m,25.851,49.577,79.784,115.334,155.001,200.06,253.985,328.101,433.164,509.645
mnist_fed_time_s,12.47,21.959,36.722,49.831,68.837,81.344,102.563,128.624,180.421,171.927
fmnist_cntr_m,0.676,0.73,0.763,0.777,0.784,0.795,0.804,0.805,0.813,0.815
fmnist_cntr_s,0.028,0.016,0.014,0.012,0.013,0.014,0.011,0.012,0.009,0.01
fmnist_ind_m,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676
fmnist_ind_s,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
fmnist_dc_mlp_m,0.7,0.726,0.752,0.754,0.763,0.767,0.779,0.783,0.781,0.781
fmnist_dc_mlp_s,0.02,0.019,0.011,0.015,0.014,0.013,0.015,0.017,0.017,0.015
fmnist_dc_svm_m,0.476,0.596,0.663,0.687,0.703,0.715,0.725,0.734,0.734,0.741
fmnist_dc_svm_s,0.079,0.058,0.033,0.019,0.016,0.019,0.011,0.011,0.01,0.008
fmnist_dc_knn_m,0.592,0.663,0.693,0.71,0.715,0.724,0.731,0.733,0.738,0.744
fmnist_dc_knn_s,0.018,0.02,0.02,0.017,0.013,0.01,0.009,0.012,0.008,0.012
fmnist_dc_time_m,1.635,2.029,2.455,2.327,2.955,3.028,3.693,4.21,4.291,4.329
fmnist_dc_time_s,0.54,0.705,0.735,0.919,1.247,0.937,1.082,1.045,1.226,1.193
fmnist_fed_m,0.597,0.653,0.691,0.72,0.742,0.758,0.754,0.756,0.765,0.763
fmnist_fed_s,0.05,0.033,0.037,0.031,0.024,0.014,0.027,0.019,0.015,0.021
fmnist_fed_3e_m,0.639,0.715,0.75,0.761,0.769,0.777,0.783,0.782,0.782,0.8
fmnist_fed_3e_s,0.025,0.009,0.013,0.017,0.019,0.014,0.006,0.011,0.016,0.009
fmnist_fed_time_m,46.919,92.475,144.589,191.683,241.222,304.124,383.286,479.489,576.678,702.591
fmnist_fed_time_s,39.373,69.872,114.09,150.614,170.316,209.506,247.263,296.59,319.548,388.987
